q1_pr,q2_pr
1.4937512437951089e-05,3.127361694431582e-05
1.073201156209033e-05,4.815907951140595e-05
8.765831836047235e-06,2.92633154279989e-05
2.3592292294314123e-05,2.3593228371054485e-05
9.472037792026327e-06,8.145891081769749e-05
2.0575309393984545e-05,1.2872247020743353e-05
3.508845686161184e-05,8.513888049214785e-06
1.344779178043967e-05,7.695331816411846e-05
2.3585830659946448e-05,2.4247841134766578e-05
3.598690298153121e-05,2.467565867015345e-05
3.984617840678762e-05,4.80502502652118e-05
1.9371159240360604e-05,2.18248555468738e-05
6.385455352670409e-05,1.0301797586478965e-05
4.8240741574625165e-05,1.074895644020832e-05
4.96464858905108e-05,9.581282540344404e-06
4.822032605882037e-05,1.0745485802521503e-05
2.9117564029328464e-05,8.735425458138538e-06
4.4516108685318766e-05,1.011576884902623e-05
6.921157692276558e-06,1.7800486560066745e-05
2.8795332048662286e-05,1.964517375867635e-05
1.6675889682326395e-05,2.2345163950451072e-05
1.8761733987300957e-05,2.4626498409300242e-05
1.0570077548947932e-05,1.9553362717543047e-05
1.5328024629633388e-05,1.7541063086261452e-05
3.5761363198538057e-05,1.9879982586577943e-05
8.683162055388207e-06,0.00013713823761700845
3.374336942878675e-05,1.4532449562870667e-05
1.9927411641716767e-05,1.4209035284700938e-05
2.0771962895497e-05,1.594199636040448e-05
2.281808713822225e-05,1.5711942391934538e-05
7.740533287762424e-06,8.552357742748866e-05
1.7710542841326413e-05,2.221110547688433e-05
1.0752427077895135e-05,4.826115709042997e-05
1.660702200060861e-05,2.170343702255005e-05
2.4521682862545583e-05,2.0522814431052398e-05
1.624978983633936e-05,1.934454637485325e-05
2.1966288407639204e-05,2.5160979753259333e-05
9.149989294433411e-06,9.320412595639584e-05
6.673872284269e-05,1.6066966866286058e-05
5.597339826401737e-05,1.0475562331665752e-05
4.042344555929221e-05,1.1138012553871636e-05
3.2513065298861226e-05,1.887928026617066e-05
2.2818167945477018e-05,1.8066032759740243e-05
2.78261222271755e-05,4.157173124372216e-05
2.1895481619488593e-05,3.081767937515784e-05
4.1377455632324114e-05,9.58219783001714e-06
1.0888456481311606e-05,1.979282651555198e-05
1.8129826948874973e-05,1.9556395310629626e-05
3.763192410249517e-05,3.499245651144168e-05
2.1668141123416447e-05,1.8872630488536113e-05
3.061108642774409e-05,9.052005920269323e-06
3.406419945067223e-06,4.9483634182016384e-05
1.0167948133621534e-05,7.171687304564229e-05
2.8480029663379847e-05,2.187091964136467e-05
7.993002125503659e-06,5.76526420903936e-05
8.671946976288755e-06,6.48413498780074e-05
9.085928839419033e-06,4.6149871531037586e-05
3.27182986425791e-05,2.7006234908334946e-05
1.6498326947243798e-05,8.091930260033135e-05
0.00011623614920020872,8.036464564532142e-06
4.044258510535921e-05,1.1142079707410874e-05
1.9559174176636825e-05,6.704396835845001e-06
3.0135090860043846e-05,2.7245328852047634e-05
3.131948005223001e-05,9.203171798002561e-06
4.036602692109119e-05,1.1122940161343868e-05
1.455800847623521e-05,3.108021320291837e-05
1.1671319935694591e-05,0.00012484716731929642
3.360135693866021e-05,3.0201010051794105e-05
8.989139895430933e-06,8.335553500235035e-05
1.462349830025949e-05,1.8868795502167577e-05
4.04043060132252e-05,1.1133945400332396e-05
1.1142079707410874e-05,4.044258510535921e-05
2.334184576531354e-05,2.33412342652806e-05
1.222247222481688e-05,3.44388749623168e-05
6.48413498780074e-05,8.671946976288755e-06
2.1953625847952938e-05,2.2083458439129007e-05
2.8673309032479716e-05,3.069780040820734e-05
2.157867641254799e-05,2.0369178002682128e-05
1.499711772518596e-05,1.74363175224024e-05
1.1771351676397367e-05,2.1701888187581074e-05
2.626673718759205e-05,2.725483310686723e-05
1.1133945400332396e-05,4.04043060132252e-05
4.036602692109119e-05,1.1122940161343868e-05
1.6986869150146937e-05,1.6986869150146937e-05
3.863249766998287e-05,2.647301608578191e-05
3.8456233663882994e-05,7.995457536653798e-06
7.637727430887688e-06,8.383030449072833e-05
3.312372621314664e-05,1.9521298713960514e-05
5.742576367752457e-05,3.163910684764725e-05
2.389245613565971e-05,2.0701177821416887e-05
1.9286824086010123e-05,2.6422533715677392e-05
4.8240741574625165e-05,1.0751226165200736e-05
4.036602692109119e-05,1.1122940161343868e-05
5.191702461165974e-06,4.043887468192459e-05
2.340061263110454e-05,1.8004801516396838e-05
1.8810224413084545e-05,1.9384434372395853e-05
7.15382372823502e-05,1.0145618663210022e-05
1.7015869909141133e-05,2.1174725329939825e-05
2.3581946856137394e-05,2.6466638103643696e-05
2.190962968783276e-05,2.1910000281680256e-05
3.242371415577418e-05,9.438069630624055e-06
2.7255625602571784e-05,2.1842855283416093e-05
1.7893476547474563e-05,0.00013187758286746913
1.6332460229058424e-05,3.243482916270119e-05
4.836063009475187e-05,9.399119635945223e-06
6.0100379556691616e-05,8.2250613479978e-06
1.8043146037838774e-05,1.804332999859297e-05
9.324517366142877e-06,3.986168819776963e-05
3.568296532348725e-05,1.0129798316379866e-05
5.601593058861071e-05,1.0483902003154642e-05
2.8506035622229797e-05,3.026857141605798e-05
1.1289673734291225e-05,0.000158166007732094
1.8437494670063303e-05,2.2647979793534807e-05
2.9349363599833987e-05,2.7331817404017963e-05
3.242244775298848e-05,3.242196103760185e-05
1.0293829285667392e-05,6.37889322259029e-05
3.646482448939242e-05,0.00024199761502490536
1.1122940161343868e-05,4.036602692109119e-05
9.089069935311788e-06,6.156041251541839e-05
2.7326685326848106e-05,1.0159630682987835e-05
6.306068461011871e-06,3.094936007498039e-05
0.00011062128205587476,9.780384767724231e-06
2.173346007264394e-05,1.784266486398574e-05
1.1297205906170207e-05,2.7120959452405116e-05
5.5423230354924576e-05,2.5821412861258807e-05
3.2170174418548295e-05,2.1505538311839886e-05
1.0370926220999285e-05,3.681719839426883e-05
1.0746422514423136e-05,4.822032605882037e-05
1.039697014235068e-05,2.3044120673572732e-05
2.441034213201861e-05,2.0561816383255257e-05
2.413190617826058e-05,1.3096254192483036e-05
2.6781289751540422e-05,3.781975367828314e-05
2.4744244871659136e-05,3.123968727392837e-05
8.997301498223855e-06,3.0354987555265585e-05
2.1180285267175425e-05,2.3648748173731154e-05
1.867460185873185e-05,1.445307274681135e-05
2.6541432936952058e-05,2.8703603402828662e-05
9.735030755224303e-06,3.382200267775905e-05
1.5362811229050782e-05,4.205039037958165e-05
0.0001177837303660952,6.398691387566026e-06
2.9577391088205486e-05,2.588699760637762e-05
3.641167869940807e-05,4.490807789841722e-05
2.4862113711696926e-05,2.5227280049874252e-05
1.329964269075091e-05,9.726810630169292e-05
4.1129762379690945e-05,9.540089977069501e-06
2.8115190524453745e-05,1.7188082366690456e-05
3.356267666983435e-05,3.37163454717275e-05
1.0155469900156277e-05,7.160522569358473e-05
3.146401265207336e-05,3.009508383566118e-05
1.1921927272586043e-05,1.1259845509857373e-05
1.1122940161343868e-05,4.036602692109119e-05
3.6240188601164775e-05,2.9112525960822162e-05
1.3693208570690203e-05,2.890735117922708e-05
2.4005459840496777e-05,3.499752487565765e-05
4.036602692109119e-05,1.1122940161343868e-05
