,2gram_nostpwrd_cooccurence,2gram_nostpwrd_distinct,2gram_cooccurence,2gram_distinct
0,0.0,7.0,3.0,63.0
1,0.0,17.0,1.0,78.0
2,1.0,36.0,2.0,106.0
3,1.0,4.0,2.0,14.0
4,0.0,25.0,1.0,102.0
5,1.0,9.0,0.0,46.0
6,2.0,11.0,2.0,77.0
7,1.0,18.0,4.0,65.0
8,2.0,14.0,2.0,25.0
9,2.0,6.0,1.0,31.0
10,1.0,4.0,2.0,33.0
11,2.0,1.0,1.0,10.0
12,3.0,38.0,2.0,94.0
13,1.0,73.0,1.0,169.0
14,4.0,22.0,9.0,102.0
15,3.0,4.0,6.0,30.0
16,2.0,30.0,5.0,98.0
17,0.0,2.0,0.0,10.0
18,2.0,90.0,4.0,282.0
19,0.0,30.0,0.0,60.0
20,0.0,10.0,1.0,68.0
21,0.0,8.0,1.0,29.0
22,1.0,36.0,1.0,103.0
23,3.0,57.0,4.0,189.0
24,1.0,3.0,6.0,48.0
25,1.0,0.0,5.0,11.0
26,0.0,25.0,0.0,122.0
27,2.0,3.0,2.0,15.0
28,0.0,20.0,2.0,80.0
29,1.0,44.0,1.0,136.0
30,0.0,24.0,1.0,72.0
31,1.0,52.0,0.0,152.0
32,0.0,16.0,1.0,45.0
33,4.0,66.0,7.0,165.0
34,1.0,40.0,2.0,119.0
35,1.0,16.0,1.0,44.0
36,1.0,15.0,0.0,62.0
37,3.0,16.0,5.0,134.0
38,0.0,23.0,1.0,77.0
39,2.0,4.0,1.0,21.0
40,2.0,1.0,1.0,9.0
41,5.0,39.0,9.0,125.0
42,2.0,4.0,4.0,30.0
43,0.0,11.0,0.0,27.0
44,0.0,2.0,3.0,34.0
45,1.0,28.0,2.0,86.0
46,2.0,27.0,4.0,99.0
47,2.0,29.0,2.0,59.0
48,3.0,34.0,4.0,73.0
49,0.0,7.0,1.0,28.0
50,3.0,10.0,5.0,26.0
51,0.0,68.0,2.0,156.0
52,2.0,4.0,2.0,20.0
53,4.0,9.0,2.0,15.0
54,10.0,58.0,10.0,152.0
55,0.0,16.0,0.0,30.0
56,1.0,18.0,2.0,51.0
57,2.0,16.0,5.0,63.0
58,2.0,8.0,6.0,44.0
59,2.0,76.0,1.0,224.0
60,2.0,46.0,2.0,131.0
61,2.0,54.0,3.0,84.0
62,2.0,10.0,3.0,103.0
63,0.0,7.0,1.0,36.0
64,1.0,2.0,1.0,5.0
65,2.0,11.0,4.0,85.0
66,0.0,30.0,0.0,112.0
67,2.0,22.0,5.0,99.0
68,0.0,9.0,0.0,28.0
69,0.0,7.0,2.0,24.0
70,0.0,12.0,0.0,50.0
71,0.0,16.0,0.0,38.0
72,2.0,38.0,2.0,105.0
73,3.0,26.0,5.0,114.0
74,0.0,13.0,0.0,29.0
75,0.0,20.0,0.0,94.0
76,4.0,17.0,5.0,90.0
77,1.0,23.0,2.0,60.0
78,0.0,51.0,0.0,151.0
79,0.0,7.0,0.0,43.0
80,1.0,4.0,1.0,30.0
81,3.0,6.0,5.0,33.0
82,2.0,2.0,2.0,17.0
83,1.0,37.0,1.0,122.0
84,2.0,17.0,3.0,61.0
85,2.0,15.0,4.0,69.0
86,4.0,12.0,9.0,72.0
87,2.0,43.0,3.0,113.0
88,4.0,117.0,7.0,250.0
89,1.0,37.0,2.0,85.0
90,1.0,15.0,1.0,31.0
91,1.0,9.0,0.0,86.0
92,0.0,20.0,0.0,45.0
93,0.0,16.0,0.0,35.0
94,3.0,6.0,4.0,25.0
95,6.0,45.0,12.0,151.0
96,2.0,38.0,5.0,132.0
97,1.0,5.0,4.0,44.0
98,2.0,4.0,2.0,30.0
99,2.0,14.0,3.0,22.0
100,0.0,4.0,0.0,16.0
101,0.0,11.0,0.0,37.0
102,9.0,92.0,21.0,448.0
103,1.0,7.0,1.0,10.0
104,7.0,34.0,20.0,322.0
105,7.0,58.0,13.0,184.0
106,2.0,8.0,3.0,34.0
107,0.0,0.0,1.0,3.0
108,1.0,2.0,1.0,8.0
109,0.0,23.0,0.0,83.0
110,2.0,22.0,3.0,66.0
111,6.0,44.0,14.0,212.0
112,0.0,19.0,2.0,55.0
