,3gram_cooccurence,3gram_distinct,3gram_nostpwrd_cooccurence,3gram_nostpwrd_distinct
0,11.0,28.0,1.0,1.0
1,1.0,54.0,1.0,7.0
2,5.0,61.0,4.0,13.0
3,5.0,3.0,3.0,0.0
4,4.0,78.0,0.0,15.0
5,1.0,25.0,2.0,1.0
6,6.0,50.0,4.0,3.0
7,13.0,34.0,2.0,5.0
8,5.0,9.0,5.0,3.0
9,4.0,10.0,6.0,0.0
10,3.0,19.0,1.0,1.0
11,2.0,2.0,1.0,0.0
12,6.0,60.0,6.0,20.0
13,2.0,135.0,2.0,53.0
14,17.0,67.0,7.0,8.0
15,11.0,12.0,3.0,0.0
16,10.0,70.0,4.0,16.0
17,1.0,1.0,4.0,0.0
18,13.0,207.0,6.0,57.0
19,0.0,45.0,0.0,20.0
20,2.0,42.0,2.0,0.0
21,4.0,13.0,0.0,0.0
22,2.0,74.0,2.0,19.0
23,11.0,138.0,8.0,34.0
24,14.0,18.0,1.0,0.0
25,7.0,2.0,1.0,0.0
26,2.0,92.0,3.0,13.0
27,7.0,3.0,5.0,0.0
28,10.0,46.0,3.0,6.0
29,6.0,92.0,5.0,19.0
30,4.0,48.0,1.0,10.0
31,0.0,112.0,1.0,27.0
32,2.0,29.0,0.0,8.0
33,12.0,123.0,6.0,45.0
34,10.0,83.0,7.0,19.0
35,1.0,31.0,1.0,8.0
36,1.0,37.0,1.0,7.0
37,18.0,85.0,7.0,4.0
38,4.0,49.0,0.0,14.0
39,5.0,5.0,4.0,0.0
40,3.0,1.0,1.0,0.0
41,16.0,87.0,8.0,19.0
42,10.0,12.0,4.0,0.0
43,0.0,17.0,0.0,5.0
44,7.0,14.0,1.0,0.0
45,6.0,61.0,4.0,13.0
46,10.0,63.0,7.0,10.0
47,5.0,36.0,6.0,14.0
48,7.0,44.0,5.0,12.0
49,1.0,17.0,0.0,2.0
50,9.0,9.0,5.0,1.0
51,10.0,108.0,4.0,40.0
52,4.0,6.0,4.0,0.0
53,6.0,4.0,5.0,1.0
54,25.0,102.0,18.0,31.0
55,2.0,13.0,0.0,7.0
56,6.0,27.0,2.0,7.0
57,9.0,39.0,3.0,5.0
58,11.0,22.0,3.0,2.0
59,6.0,175.0,8.0,50.0
60,4.0,99.0,4.0,31.0
61,5.0,60.0,3.0,36.0
62,8.0,71.0,6.0,1.0
63,1.0,24.0,0.0,2.0
64,4.0,0.0,4.0,0.0
65,11.0,55.0,5.0,3.0
66,0.0,87.0,0.0,18.0
67,9.0,65.0,3.0,10.0
68,0.0,18.0,0.0,4.0
69,4.0,10.0,1.0,0.0
70,0.0,31.0,0.0,3.0
71,0.0,24.0,0.0,6.0
72,7.0,66.0,3.0,18.0
73,13.0,76.0,6.0,10.0
74,2.0,15.0,0.0,6.0
75,0.0,70.0,1.0,7.0
76,12.0,58.0,7.0,4.0
77,6.0,40.0,4.0,11.0
78,0.0,109.0,0.0,24.0
79,0.0,25.0,1.0,2.0
80,3.0,14.0,2.0,0.0
81,9.0,12.0,5.0,0.0
82,3.0,3.0,3.0,0.0
83,3.0,81.0,4.0,17.0
84,5.0,41.0,3.0,6.0
85,9.0,43.0,5.0,6.0
86,17.0,42.0,7.0,2.0
87,6.0,81.0,4.0,26.0
88,20.0,188.0,14.0,81.0
89,6.0,55.0,5.0,16.0
90,2.0,16.0,2.0,5.0
91,0.0,57.0,4.0,0.0
92,0.0,32.0,0.0,12.0
93,0.0,24.0,0.0,9.0
94,11.0,9.0,5.0,0.0
95,23.0,92.0,11.0,20.0
96,8.0,96.0,2.0,19.0
97,12.0,22.0,2.0,0.0
98,7.0,13.0,4.0,0.0
99,8.0,8.0,4.0,4.0
100,2.0,4.0,1.0,0.0
101,0.0,23.0,1.0,3.0
102,41.0,346.0,17.0,58.0
103,1.0,3.0,1.0,1.0
104,44.0,226.0,15.0,4.0
105,26.0,132.0,14.0,30.0
106,9.0,14.0,3.0,2.0
107,2.0,0.0,0.0,0.0
108,1.0,2.0,1.0,0.0
109,0.0,64.0,0.0,14.0
110,9.0,42.0,3.0,10.0
111,27.0,158.0,11.0,22.0
112,7.0,32.0,2.0,7.0
113,9.0,31.0,5.0,3.0
114,7.0,4.0,3.0,0.0
115,0.0,21.0,0.0,2.0
116,8.0,29.0,7.0,2.0
117,13.0,16.0,3.0,0.0
118,11.0,12.0,5.0,0.0
119,0.0,10.0,2.0,5.0
120,16.0,69.0,2.0,3.0
121,2.0,20.0,0.0,4.0
122,1.0,20.0,1.0,2.0
123,10.0,40.0,2.0,3.0
124,22.0,392.0,15.0,93.0
125,0.0,12.0,0.0,3.0
126,5.0,13.0,3.0,1.0
127,1.0,32.0,0.0,5.0
128,4.0,6.0,1.0,0.0
129,1.0,20.0,1.0,12.0
130,4.0,1.0,0.0,0.0
131,0.0,36.0,0.0,4.0
132,12.0,108.0,4.0,36.0
133,1.0,11.0,0.0,3.0
134,18.0,29.0,4.0,4.0
135,10.0,14.0,5.0,0.0
136,12.0,174.0,8.0,38.0
137,2.0,15.0,2.0,2.0
138,6.0,65.0,4.0,15.0
139,1.0,77.0,0.0,25.0
140,5.0,5.0,2.0,2.0
141,21.0,92.0,15.0,44.0
142,10.0,71.0,6.0,30.0
143,23.0,120.0,9.0,9.0
144,4.0,163.0,6.0,40.0
145,6.0,9.0,3.0,1.0
146,4.0,56.0,4.0,11.0
147,12.0,40.0,7.0,7.0
148,1.0,40.0,1.0,16.0
149,6.0,49.0,9.0,8.0
150,15.0,44.0,3.0,3.0
151,9.0,133.0,10.0,31.0
152,11.0,48.0,9.0,18.0
153,13.0,144.0,8.0,38.0
154,23.0,113.0,11.0,33.0
155,4.0,25.0,6.0,3.0
156,11.0,22.0,3.0,2.0
157,3.0,19.0,2.0,3.0
158,15.0,47.0,7.0,8.0
159,13.0,80.0,3.0,12.0
160,1.0,52.0,1.0,15.0
161,12.0,44.0,3.0,6.0
162,8.0,95.0,8.0,32.0
163,7.0,30.0,8.0,16.0
164,8.0,11.0,5.0,0.0
165,9.0,24.0,2.0,4.0
166,3.0,55.0,4.0,2.0
167,7.0,8.0,5.0,0.0
168,3.0,26.0,1.0,0.0
169,41.0,346.0,17.0,58.0
