,bigram_coocurence,bigram_distinct,bigram_nostpwrd_coocurence,bigram_nostpwrd_distinct
0,3.0,63.0,0.0,7.0
1,1.0,78.0,0.0,17.0
2,2.0,106.0,1.0,36.0
3,2.0,14.0,1.0,4.0
4,1.0,102.0,0.0,25.0
5,0.0,46.0,1.0,9.0
6,2.0,77.0,2.0,11.0
7,4.0,65.0,1.0,18.0
8,2.0,25.0,2.0,14.0
9,1.0,31.0,2.0,6.0
10,2.0,33.0,1.0,4.0
11,1.0,10.0,2.0,1.0
12,2.0,94.0,3.0,38.0
13,1.0,169.0,1.0,73.0
14,9.0,102.0,4.0,22.0
15,6.0,30.0,3.0,4.0
16,5.0,98.0,2.0,30.0
17,0.0,10.0,0.0,2.0
18,4.0,282.0,2.0,90.0
19,0.0,60.0,0.0,30.0
20,1.0,68.0,0.0,10.0
21,1.0,29.0,0.0,8.0
22,1.0,103.0,1.0,36.0
23,4.0,189.0,3.0,57.0
24,6.0,48.0,1.0,3.0
25,5.0,11.0,1.0,0.0
26,0.0,122.0,0.0,25.0
27,2.0,15.0,2.0,3.0
28,2.0,80.0,0.0,20.0
29,1.0,136.0,1.0,44.0
30,1.0,72.0,0.0,24.0
31,0.0,152.0,1.0,52.0
32,1.0,45.0,0.0,16.0
33,7.0,165.0,4.0,66.0
34,2.0,119.0,1.0,40.0
35,1.0,44.0,1.0,16.0
36,0.0,62.0,1.0,15.0
37,5.0,134.0,3.0,16.0
38,1.0,77.0,0.0,23.0
39,1.0,21.0,2.0,4.0
40,1.0,9.0,2.0,1.0
41,9.0,125.0,5.0,39.0
42,4.0,30.0,2.0,4.0
43,0.0,27.0,0.0,11.0
44,3.0,34.0,0.0,2.0
45,2.0,86.0,1.0,28.0
46,4.0,99.0,2.0,27.0
47,2.0,59.0,2.0,29.0
48,4.0,73.0,3.0,34.0
49,1.0,28.0,0.0,7.0
50,5.0,26.0,3.0,10.0
51,2.0,156.0,0.0,68.0
52,2.0,20.0,2.0,4.0
53,2.0,15.0,4.0,9.0
54,10.0,152.0,10.0,58.0
55,0.0,30.0,0.0,16.0
56,2.0,51.0,1.0,18.0
57,5.0,63.0,2.0,16.0
58,6.0,44.0,2.0,8.0
59,1.0,224.0,2.0,76.0
60,2.0,131.0,2.0,46.0
61,3.0,84.0,2.0,54.0
62,3.0,103.0,2.0,10.0
63,1.0,36.0,0.0,7.0
64,1.0,5.0,1.0,2.0
65,4.0,85.0,2.0,11.0
66,0.0,112.0,0.0,30.0
67,5.0,99.0,2.0,22.0
68,0.0,28.0,0.0,9.0
69,2.0,24.0,0.0,7.0
70,0.0,50.0,0.0,12.0
71,0.0,38.0,0.0,16.0
72,2.0,105.0,2.0,38.0
73,5.0,114.0,3.0,26.0
74,0.0,29.0,0.0,13.0
75,0.0,94.0,0.0,20.0
76,5.0,90.0,4.0,17.0
77,2.0,60.0,1.0,23.0
78,0.0,151.0,0.0,51.0
79,0.0,43.0,0.0,7.0
80,1.0,30.0,1.0,4.0
81,5.0,33.0,3.0,6.0
82,2.0,17.0,2.0,2.0
83,1.0,122.0,1.0,37.0
84,3.0,61.0,2.0,17.0
85,4.0,69.0,2.0,15.0
86,9.0,72.0,4.0,12.0
87,3.0,113.0,2.0,43.0
88,7.0,250.0,4.0,117.0
89,2.0,85.0,1.0,37.0
90,1.0,31.0,1.0,15.0
91,0.0,86.0,1.0,9.0
92,0.0,45.0,0.0,20.0
93,0.0,35.0,0.0,16.0
94,4.0,25.0,3.0,6.0
95,12.0,151.0,6.0,45.0
96,5.0,132.0,2.0,38.0
97,4.0,44.0,1.0,5.0
98,2.0,30.0,2.0,4.0
99,3.0,22.0,2.0,14.0
100,0.0,16.0,0.0,4.0
101,0.0,37.0,0.0,11.0
102,21.0,448.0,9.0,92.0
103,1.0,10.0,1.0,7.0
104,20.0,322.0,7.0,34.0
105,13.0,184.0,7.0,58.0
106,3.0,34.0,2.0,8.0
107,1.0,3.0,0.0,0.0
108,1.0,8.0,1.0,2.0
109,0.0,83.0,0.0,23.0
110,3.0,66.0,2.0,22.0
111,14.0,212.0,6.0,44.0
112,2.0,55.0,0.0,19.0
113,4.0,55.0,2.0,14.0
114,2.0,19.0,2.0,2.0
115,0.0,33.0,0.0,7.0
116,3.0,56.0,1.0,15.0
117,5.0,36.0,1.0,4.0
118,6.0,30.0,3.0,6.0
119,0.0,28.0,0.0,16.0
120,5.0,106.0,0.0,11.0
121,1.0,35.0,0.0,10.0
122,1.0,32.0,1.0,6.0
123,2.0,70.0,1.0,11.0
124,8.0,469.0,4.0,129.0
125,0.0,28.0,0.0,12.0
126,3.0,32.0,1.0,10.0
127,0.0,59.0,0.0,16.0
128,1.0,17.0,0.0,4.0
129,1.0,31.0,1.0,21.0
130,1.0,13.0,0.0,2.0
131,0.0,49.0,0.0,9.0
132,4.0,146.0,1.0,59.0
133,1.0,20.0,0.0,8.0
134,5.0,66.0,2.0,12.0
135,4.0,32.0,1.0,8.0
136,4.0,232.0,2.0,70.0
137,1.0,27.0,1.0,10.0
138,2.0,95.0,2.0,32.0
139,0.0,102.0,0.0,38.0
140,1.0,18.0,1.0,8.0
141,11.0,134.0,8.0,74.0
142,6.0,100.0,4.0,49.0
143,11.0,179.0,5.0,26.0
144,1.0,211.0,1.0,67.0
145,3.0,26.0,1.0,7.0
146,1.0,81.0,1.0,29.0
147,6.0,67.0,3.0,20.0
148,1.0,58.0,1.0,26.0
149,2.0,81.0,2.0,23.0
150,5.0,78.0,1.0,9.0
151,3.0,179.0,3.0,53.0
152,3.0,80.0,3.0,41.0
153,4.0,197.0,2.0,67.0
154,9.0,159.0,4.0,59.0
155,0.0,43.0,2.0,14.0
156,6.0,44.0,2.0,8.0
157,2.0,39.0,1.0,12.0
158,6.0,82.0,4.0,22.0
159,5.0,113.0,1.0,25.0
160,0.0,80.0,1.0,32.0
161,3.0,77.0,0.0,20.0
162,3.0,131.0,3.0,55.0
163,2.0,54.0,2.0,33.0
164,3.0,28.0,1.0,8.0
165,3.0,46.0,0.0,16.0
166,2.0,90.0,1.0,13.0
167,2.0,25.0,1.0,4.0
168,1.0,46.0,1.0,6.0
169,21.0,448.0,9.0,92.0
170,6.0,44.0,2.0,8.0
171,1.0,193.0,1.0,67.0
172,2.0,148.0,1.0,67.0
173,3.0,50.0,2.0,2.0
174,5.0,158.0,1.0,36.0
175,3.0,111.0,2.0,35.0
176,1.0,33.0,1.0,18.0
177,0.0,69.0,0.0,26.0
178,2.0,69.0,2.0,24.0
179,7.0,49.0,4.0,6.0
180,1.0,79.0,1.0,18.0
181,2.0,47.0,2.0,18.0
182,4.0,69.0,1.0,24.0
183,2.0,18.0,0.0,4.0
184,0.0,66.0,0.0,24.0
185,1.0,373.0,0.0,113.0
186,0.0,90.0,1.0,23.0
187,1.0,37.0,1.0,15.0
188,8.0,74.0,5.0,32.0
189,5.0,47.0,2.0,17.0
