,q1_neigh,q2_neigh,common_neigh,distinct_neigh,clique_size,shortest_path
0,2.0,5.0,0.0,7.0,2.0,10.0
1,1.0,5.0,0.0,6.0,2.0,10.0
2,1.0,4.0,0.0,5.0,2.0,10.0
3,4.0,4.0,3.0,5.0,3.0,2.0
4,1.0,10.0,0.0,11.0,2.0,10.0
5,5.0,3.0,2.0,6.0,4.0,2.0
6,5.0,1.0,0.0,6.0,3.0,10.0
7,2.0,14.0,0.0,16.0,2.0,3.0
8,32.0,33.0,31.0,34.0,24.0,2.0
9,46.0,30.0,26.0,50.0,31.0,2.0
10,5.0,6.0,0.0,11.0,2.0,10.0
11,9.0,10.0,8.0,11.0,9.0,2.0
12,7.0,1.0,0.0,8.0,2.0,10.0
13,5.0,1.0,0.0,6.0,2.0,10.0
14,6.0,1.0,0.0,7.0,2.0,10.0
15,5.0,1.0,0.0,6.0,2.0,10.0
16,4.0,1.0,0.0,5.0,2.0,10.0
17,5.0,1.0,0.0,6.0,2.0,10.0
18,2.0,7.0,1.0,8.0,3.0,2.0
19,13.0,9.0,8.0,14.0,9.0,2.0
20,5.0,7.0,4.0,8.0,6.0,2.0
21,7.0,9.0,6.0,10.0,7.0,2.0
22,2.0,4.0,1.0,5.0,3.0,2.0
23,6.0,7.0,5.0,8.0,7.0,2.0
24,11.0,7.0,6.0,12.0,8.0,2.0
25,1.0,18.0,0.0,19.0,2.0,10.0
26,48.0,17.0,14.0,51.0,26.0,2.0
27,6.0,4.0,2.0,8.0,5.0,2.0
28,12.0,9.0,8.0,13.0,9.0,2.0
29,6.0,4.0,3.0,7.0,4.0,2.0
30,1.0,14.0,0.0,15.0,2.0,10.0
31,24.0,32.0,17.0,39.0,17.0,2.0
32,1.0,5.0,0.0,6.0,2.0,10.0
33,3.0,4.0,2.0,5.0,4.0,2.0
34,9.0,8.0,7.0,10.0,9.0,2.0
35,10.0,13.0,5.0,18.0,7.0,2.0
36,7.0,9.0,4.0,12.0,5.0,2.0
37,1.0,12.0,0.0,13.0,2.0,10.0
38,8.0,2.0,0.0,10.0,2.0,10.0
39,6.0,1.0,0.0,7.0,2.0,10.0
40,4.0,1.0,0.0,5.0,2.0,10.0
41,19.0,12.0,10.0,21.0,7.0,2.0
42,6.0,5.0,4.0,7.0,6.0,2.0
43,21.0,33.0,13.0,41.0,11.0,2.0
44,7.0,9.0,6.0,10.0,7.0,2.0
45,5.0,1.0,0.0,6.0,2.0,10.0
46,2.0,4.0,1.0,5.0,3.0,2.0
47,12.0,13.0,11.0,14.0,13.0,2.0
48,25.0,21.0,17.0,29.0,19.0,2.0
49,7.0,6.0,5.0,8.0,7.0,2.0
50,4.0,1.0,0.0,5.0,2.0,10.0
51,1.0,49.0,0.0,50.0,2.0,10.0
52,1.0,8.0,0.0,9.0,2.0,10.0
53,7.0,6.0,4.0,9.0,5.0,2.0
54,1.0,9.0,0.0,10.0,2.0,10.0
55,1.0,9.0,0.0,10.0,2.0,10.0
56,1.0,6.0,0.0,7.0,2.0,10.0
57,24.0,21.0,18.0,27.0,13.0,2.0
58,4.0,19.0,0.0,23.0,2.0,3.0
59,18.0,1.0,0.0,19.0,3.0,10.0
60,4.0,1.0,0.0,5.0,2.0,10.0
61,4.0,1.0,0.0,5.0,3.0,10.0
62,12.0,11.0,10.0,13.0,9.0,2.0
63,4.0,1.0,0.0,5.0,2.0,10.0
64,4.0,1.0,0.0,5.0,2.0,10.0
65,6.0,15.0,4.0,17.0,6.0,2.0
66,2.0,26.0,0.0,28.0,2.0,3.0
67,6.0,6.0,2.0,10.0,3.0,2.0
68,1.0,11.0,0.0,12.0,2.0,10.0
69,6.0,8.0,5.0,9.0,7.0,2.0
70,4.0,1.0,0.0,5.0,2.0,10.0
71,1.0,4.0,0.0,5.0,2.0,10.0
72,6.0,6.0,5.0,7.0,6.0,2.0
73,2.0,6.0,1.0,7.0,3.0,2.0
74,9.0,1.0,0.0,10.0,2.0,10.0
75,10.0,10.0,7.0,13.0,8.0,2.0
76,13.0,14.0,12.0,15.0,8.0,2.0
77,16.0,15.0,13.0,18.0,15.0,2.0
78,11.0,19.0,6.0,24.0,8.0,2.0
79,2.0,4.0,1.0,5.0,3.0,2.0
80,7.0,7.0,4.0,10.0,6.0,2.0
81,1.0,4.0,0.0,5.0,2.0,10.0
82,4.0,1.0,0.0,5.0,2.0,10.0
83,13.0,13.0,12.0,14.0,14.0,2.0
84,30.0,23.0,21.0,32.0,14.0,2.0
85,6.0,1.0,0.0,7.0,4.0,10.0
86,1.0,14.0,0.0,15.0,2.0,10.0
87,18.0,14.0,13.0,19.0,15.0,2.0
88,18.0,13.0,9.0,22.0,10.0,2.0
89,7.0,6.0,5.0,8.0,7.0,2.0
90,9.0,13.0,7.0,15.0,7.0,2.0
91,5.0,1.0,0.0,6.0,2.0,10.0
92,4.0,1.0,0.0,5.0,2.0,10.0
