,core1,core2,core3
0,0.0,2.0,5.0
1,0.0,1.0,5.0
2,0.0,1.0,4.0
3,3.0,4.0,4.0
4,0.0,1.0,10.0
5,2.0,5.0,3.0
6,0.0,5.0,1.0
7,0.0,2.0,14.0
8,31.0,32.0,33.0
9,26.0,46.0,30.0
10,0.0,5.0,6.0
11,8.0,9.0,10.0
12,0.0,7.0,1.0
13,0.0,5.0,1.0
14,0.0,6.0,1.0
15,0.0,5.0,1.0
16,0.0,4.0,1.0
17,0.0,5.0,1.0
18,1.0,2.0,7.0
19,8.0,13.0,9.0
20,4.0,5.0,7.0
21,6.0,7.0,9.0
22,1.0,2.0,4.0
23,5.0,6.0,7.0
24,6.0,11.0,7.0
25,0.0,1.0,19.0
26,14.0,48.0,17.0
27,2.0,6.0,4.0
28,8.0,12.0,9.0
29,3.0,6.0,4.0
30,0.0,1.0,14.0
31,17.0,24.0,32.0
32,0.0,1.0,5.0
33,2.0,3.0,4.0
34,7.0,9.0,8.0
35,5.0,10.0,13.0
36,4.0,7.0,9.0
37,0.0,1.0,12.0
38,0.0,8.0,2.0
39,0.0,6.0,1.0
40,0.0,4.0,1.0
41,10.0,19.0,12.0
42,4.0,6.0,5.0
43,13.0,21.0,33.0
44,6.0,7.0,9.0
45,0.0,5.0,1.0
46,1.0,2.0,4.0
47,11.0,12.0,13.0
48,17.0,25.0,21.0
49,5.0,7.0,6.0
50,0.0,4.0,1.0
51,0.0,1.0,49.0
52,0.0,1.0,8.0
53,4.0,7.0,6.0
54,0.0,1.0,9.0
55,0.0,1.0,9.0
56,0.0,1.0,6.0
57,18.0,24.0,21.0
58,0.0,4.0,19.0
59,0.0,18.0,1.0
60,0.0,4.0,1.0
61,0.0,4.0,1.0
62,10.0,12.0,11.0
63,0.0,4.0,1.0
64,0.0,4.0,1.0
65,4.0,6.0,15.0
66,0.0,2.0,26.0
67,2.0,6.0,6.0
68,0.0,1.0,11.0
69,5.0,6.0,8.0
70,0.0,4.0,1.0
71,0.0,1.0,4.0
72,5.0,6.0,6.0
73,1.0,2.0,6.0
74,0.0,9.0,1.0
75,7.0,10.0,10.0
76,12.0,13.0,14.0
77,13.0,16.0,15.0
78,6.0,11.0,19.0
79,1.0,2.0,4.0
80,4.0,7.0,7.0
81,0.0,1.0,4.0
82,0.0,4.0,1.0
83,12.0,13.0,13.0
84,21.0,30.0,23.0
85,0.0,6.0,1.0
86,0.0,1.0,14.0
87,13.0,18.0,14.0
88,9.0,18.0,13.0
89,5.0,7.0,6.0
90,7.0,9.0,13.0
91,0.0,5.0,1.0
92,0.0,4.0,1.0
93,0.0,1.0,13.0
94,3.0,5.0,4.0
95,29.0,31.0,32.0
96,0.0,8.0,1.0
97,3.0,4.0,5.0
98,7.0,8.0,9.0
99,5.0,6.0,6.0
100,0.0,4.0,1.0
101,26.0,44.0,30.0
102,0.0,4.0,30.0
103,1.0,2.0,4.0
104,0.0,6.0,1.0
105,0.0,9.0,1.0
106,5.0,6.0,6.0
107,0.0,1.0,5.0
108,0.0,4.0,1.0
109,0.0,6.0,1.0
110,13.0,15.0,15.0
111,1.0,2.0,30.0
112,10.0,11.0,14.0
113,8.0,11.0,10.0
114,1.0,4.0,4.0
115,0.0,1.0,7.0
116,8.0,18.0,56.0
117,0.0,1.0,4.0
118,0.0,1.0,8.0
119,1.0,6.0,2.0
120,0.0,1.0,7.0
121,0.0,13.0,1.0
122,3.0,5.0,4.0
123,5.0,6.0,16.0
124,35.0,49.0,38.0
125,7.0,12.0,8.0
126,0.0,1.0,4.0
127,0.0,1.0,5.0
128,0.0,2.0,5.0
129,3.0,6.0,6.0
130,3.0,8.0,4.0
131,0.0,7.0,10.0
132,12.0,15.0,20.0
133,0.0,1.0,4.0
134,10.0,11.0,12.0
135,2.0,4.0,3.0
136,23.0,28.0,31.0
137,0.0,1.0,4.0
138,0.0,2.0,5.0
139,0.0,26.0,1.0
140,4.0,8.0,7.0
141,0.0,4.0,5.0
142,3.0,5.0,5.0
143,0.0,2.0,15.0
144,0.0,5.0,1.0
145,7.0,13.0,8.0
146,0.0,4.0,4.0
147,0.0,1.0,8.0
148,30.0,41.0,41.0
149,9.0,11.0,10.0
150,0.0,1.0,4.0
151,10.0,19.0,16.0
152,5.0,6.0,14.0
153,3.0,5.0,7.0
154,0.0,4.0,1.0
155,0.0,1.0,7.0
156,11.0,12.0,12.0
157,8.0,14.0,10.0
158,0.0,1.0,5.0
159,0.0,2.0,8.0
160,0.0,1.0,19.0
161,12.0,14.0,13.0
162,7.0,23.0,8.0
163,5.0,7.0,9.0
164,0.0,1.0,4.0
165,12.0,27.0,17.0
166,1.0,2.0,4.0
167,10.0,11.0,13.0
168,0.0,4.0,1.0
169,1.0,19.0,2.0
170,0.0,4.0,16.0
171,1.0,2.0,4.0
172,19.0,45.0,28.0
173,3.0,5.0,4.0
174,0.0,7.0,1.0
175,0.0,1.0,4.0
176,23.0,26.0,25.0
177,23.0,25.0,27.0
178,16.0,19.0,18.0
179,19.0,20.0,22.0
180,0.0,1.0,7.0
181,1.0,2.0,4.0
182,0.0,2.0,5.0
183,2.0,3.0,6.0
184,0.0,9.0,1.0
185,19.0,26.0,37.0
186,0.0,44.0,1.0
187,5.0,10.0,7.0
188,0.0,4.0,11.0
189,4.0,6.0,7.0
190,6.0,7.0,22.0
191,25.0,29.0,41.0
192,0.0,4.0,1.0
193,6.0,7.0,8.0
194,0.0,1.0,4.0
195,3.0,6.0,5.0
196,11.0,19.0,12.0
197,3.0,5.0,5.0
198,0.0,1.0,10.0
199,10.0,18.0,16.0
200,8.0,9.0,11.0
201,0.0,19.0,1.0
202,8.0,10.0,10.0
203,0.0,8.0,1.0
204,4.0,5.0,7.0
205,3.0,4.0,5.0
206,0.0,6.0,1.0
207,3.0,4.0,4.0
208,8.0,10.0,10.0
209,0.0,1.0,8.0
210,2.0,3.0,16.0
211,0.0,2.0,28.0
212,0.0,7.0,7.0
213,9.0,10.0,10.0
214,1.0,4.0,6.0
215,0.0,1.0,6.0
216,6.0,24.0,11.0
217,3.0,5.0,4.0
218,0.0,4.0,1.0
219,5.0,9.0,6.0
220,16.0,17.0,17.0
221,12.0,14.0,15.0
222,0.0,2.0,5.0
223,0.0,9.0,1.0
224,14.0,17.0,22.0
225,32.0,33.0,33.0
226,0.0,1.0,7.0
227,1.0,5.0,6.0
228,2.0,5.0,4.0
229,3.0,4.0,4.0
230,0.0,5.0,1.0
231,0.0,4.0,1.0
232,0.0,4.0,11.0
233,6.0,7.0,10.0
234,14.0,19.0,15.0
235,2.0,4.0,5.0
236,32.0,146.0,34.0
237,0.0,1.0,4.0
238,5.0,7.0,9.0
239,3.0,6.0,7.0
240,0.0,5.0,1.0
241,5.0,6.0,6.0
242,4.0,5.0,6.0
243,3.0,6.0,4.0
244,11.0,12.0,13.0
245,2.0,6.0,7.0
246,31.0,40.0,47.0
247,0.0,1.0,6.0
248,0.0,1.0,4.0
249,0.0,5.0,1.0
250,10.0,12.0,18.0
251,3.0,4.0,7.0
252,3.0,4.0,4.0
253,1.0,2.0,6.0
254,17.0,19.0,18.0
255,0.0,5.0,20.0
256,7.0,8.0,8.0
257,0.0,7.0,1.0
258,9.0,10.0,13.0
259,2.0,6.0,9.0
260,23.0,24.0,27.0
261,20.0,30.0,23.0
262,0.0,1.0,19.0
263,0.0,5.0,7.0
264,0.0,4.0,1.0
265,0.0,19.0,1.0
266,0.0,1.0,38.0
267,0.0,14.0,2.0
268,20.0,24.0,21.0
269,0.0,7.0,1.0
270,14.0,52.0,22.0
271,2.0,4.0,4.0
272,1.0,4.0,2.0
273,16.0,25.0,19.0
274,0.0,7.0,1.0
275,14.0,36.0,20.0
276,3.0,8.0,12.0
277,11.0,19.0,15.0
278,4.0,5.0,6.0
279,0.0,1.0,4.0
280,4.0,7.0,5.0
281,0.0,1.0,7.0
282,0.0,1.0,4.0
283,11.0,12.0,24.0
284,11.0,16.0,12.0
285,6.0,8.0,19.0
286,24.0,29.0,32.0
287,0.0,8.0,1.0
288,11.0,12.0,13.0
289,0.0,8.0,1.0
290,0.0,1.0,5.0
291,12.0,13.0,19.0
292,3.0,22.0,5.0
293,1.0,2.0,6.0
294,2.0,4.0,3.0
295,1.0,4.0,2.0
296,0.0,1.0,16.0
297,0.0,1.0,6.0
298,2.0,4.0,4.0
299,0.0,2.0,7.0
300,3.0,5.0,4.0
301,0.0,6.0,1.0
302,0.0,4.0,7.0
303,0.0,1.0,6.0
304,19.0,34.0,25.0
305,13.0,49.0,17.0
306,3.0,10.0,11.0
307,0.0,1.0,18.0
308,3.0,4.0,9.0
309,0.0,1.0,5.0
310,18.0,25.0,20.0
311,9.0,14.0,24.0
312,8.0,12.0,9.0
313,4.0,6.0,7.0
314,6.0,7.0,8.0
315,16.0,32.0,41.0
316,2.0,5.0,4.0
317,0.0,1.0,18.0
318,20.0,24.0,21.0
319,9.0,21.0,12.0
320,0.0,7.0,1.0
321,12.0,24.0,14.0
322,0.0,6.0,1.0
323,0.0,16.0,2.0
324,8.0,15.0,17.0
325,3.0,4.0,4.0
326,5.0,6.0,7.0
327,7.0,9.0,9.0
328,5.0,7.0,6.0
329,7.0,16.0,8.0
330,0.0,2.0,9.0
331,12.0,13.0,13.0
332,2.0,5.0,3.0
333,4.0,7.0,5.0
334,24.0,51.0,41.0
335,4.0,5.0,5.0
336,14.0,17.0,17.0
337,0.0,1.0,40.0
338,17.0,20.0,22.0
339,6.0,9.0,13.0
340,6.0,10.0,8.0
341,3.0,4.0,4.0
342,12.0,14.0,13.0
343,2.0,26.0,20.0
344,16.0,19.0,21.0
345,5.0,7.0,9.0
346,14.0,23.0,23.0
347,8.0,9.0,10.0
348,1.0,7.0,2.0
349,14.0,20.0,25.0
350,0.0,4.0,4.0
351,0.0,1.0,26.0
352,1.0,12.0,3.0
353,0.0,5.0,1.0
354,10.0,12.0,20.0
355,3.0,4.0,4.0
356,10.0,11.0,11.0
357,6.0,15.0,8.0
358,5.0,6.0,8.0
359,3.0,9.0,4.0
360,0.0,1.0,7.0
361,11.0,15.0,12.0
362,3.0,4.0,4.0
363,0.0,4.0,1.0
364,17.0,18.0,18.0
365,4.0,7.0,5.0
366,0.0,1.0,7.0
367,9.0,10.0,12.0
368,0.0,11.0,1.0
369,0.0,1.0,77.0
370,12.0,14.0,14.0
371,6.0,7.0,7.0
372,5.0,8.0,7.0
373,0.0,1.0,5.0
374,13.0,20.0,16.0
375,13.0,25.0,16.0
376,7.0,12.0,10.0
377,0.0,1.0,49.0
378,0.0,1.0,4.0
