,q1_freq,q2_freq
0,2,5
1,1,5
2,1,4
3,4,4
4,1,10
5,5,3
6,5,1
7,2,14
8,32,33
9,46,30
10,5,6
11,9,10
12,7,1
13,5,1
14,6,1
15,5,1
16,4,1
17,5,1
18,2,7
19,13,9
20,5,7
21,7,9
22,2,4
23,6,7
24,11,7
25,1,19
26,48,17
27,6,4
28,12,9
29,6,4
30,1,14
31,24,32
32,1,5
33,3,4
34,9,8
35,10,13
36,7,9
37,1,12
38,8,2
39,6,1
40,4,1
41,19,12
42,6,5
43,21,33
44,7,9
45,5,1
46,2,4
47,12,13
48,25,21
49,7,6
50,4,1
51,1,49
52,1,8
53,7,6
54,1,9
55,1,9
56,1,6
57,24,21
58,4,19
59,18,1
60,4,1
61,4,1
62,12,11
63,4,1
64,4,1
65,6,15
66,2,26
67,6,6
68,1,11
69,6,8
70,4,1
71,1,4
72,6,6
73,2,6
74,9,1
75,10,10
76,13,14
77,16,15
78,11,19
79,2,4
80,7,7
81,1,4
82,4,1
83,13,13
84,30,23
85,6,1
86,1,14
87,18,14
88,18,13
89,7,6
90,9,13
91,5,1
92,4,1
93,1,13
94,5,4
95,31,32
96,8,1
97,4,5
98,8,9
99,6,6
100,4,1
101,44,30
102,4,30
103,2,4
104,6,1
105,9,1
106,6,6
107,1,5
108,4,1
109,6,1
110,15,15
111,2,30
112,11,14
113,11,10
114,4,4
115,1,7
116,18,56
117,1,4
118,1,8
119,6,2
120,1,7
121,13,1
122,5,4
123,6,16
124,49,38
125,12,8
126,1,4
127,1,5
128,2,5
129,6,6
130,8,4
131,7,10
132,15,20
133,1,4
134,11,12
135,4,3
136,28,31
137,1,4
138,2,5
139,26,1
140,8,7
141,4,5
142,5,5
143,2,15
144,5,1
145,13,8
146,4,4
147,1,8
148,41,41
149,11,10
150,1,4
151,19,16
152,6,14
153,5,7
154,4,1
155,1,7
156,12,12
157,14,10
158,1,5
159,2,8
160,1,19
161,14,13
162,23,8
163,7,9
164,1,4
165,27,17
166,2,4
167,11,13
168,4,1
169,19,2
170,4,16
171,2,4
172,45,28
173,5,4
174,7,1
175,1,4
176,26,25
177,25,27
178,19,18
179,20,22
180,1,7
181,2,4
182,2,5
183,3,6
184,9,1
185,26,37
186,44,1
187,10,7
188,4,11
189,6,7
190,7,22
191,29,41
192,4,1
193,7,8
194,1,4
195,6,5
196,19,12
197,5,5
198,1,10
199,18,16
200,9,11
201,19,1
202,10,10
203,8,1
204,5,7
205,4,5
206,6,1
207,4,4
208,10,10
209,1,8
210,3,16
211,2,28
212,7,7
213,10,10
214,4,6
215,1,6
216,24,11
217,5,4
