,q1_q2_intersect
0,0
1,0
2,0
3,3
4,0
5,2
6,0
7,0
8,31
9,26
10,0
11,8
12,0
13,0
14,0
15,0
16,0
17,0
18,1
19,8
20,4
21,6
22,1
23,5
24,6
25,0
26,14
27,2
28,8
29,3
30,0
31,17
32,0
33,2
34,7
35,5
36,4
37,0
38,0
39,0
40,0
41,10
42,4
43,13
44,6
45,0
46,1
47,11
48,17
49,5
50,0
51,0
52,0
53,4
54,0
55,0
56,0
57,18
58,0
59,0
60,0
61,0
62,10
63,0
64,0
65,4
66,0
67,2
68,0
69,5
70,0
71,0
72,5
73,1
74,0
75,7
76,12
77,13
78,6
79,1
80,4
81,0
82,0
83,12
84,21
85,0
86,0
87,13
88,9
89,5
90,7
91,0
92,0
93,0
94,3
95,29
96,0
97,3
98,7
99,5
100,0
101,26
102,0
103,1
104,0
105,0
106,5
107,0
108,0
109,0
110,13
111,1
112,10
113,8
114,1
115,0
116,8
117,0
118,0
119,1
120,0
121,0
122,3
123,5
124,35
125,7
126,0
127,0
128,0
129,3
130,3
131,0
132,12
133,0
134,10
135,2
136,23
137,0
138,0
139,0
140,4
141,0
142,3
143,0
144,0
145,7
146,0
147,0
148,30
149,9
150,0
151,10
152,5
153,3
154,0
155,0
156,11
157,8
158,0
159,0
160,0
161,12
162,7
163,5
164,0
165,12
166,1
167,10
168,0
169,1
170,0
171,1
172,19
173,3
174,0
175,0
176,23
177,23
178,16
179,19
180,0
181,1
182,0
183,2
184,0
185,19
186,0
187,5
188,0
189,4
190,6
191,25
192,0
193,6
194,0
195,3
196,11
197,3
198,0
199,10
200,8
201,0
202,8
203,0
204,4
205,3
206,0
207,3
208,8
209,0
210,2
211,0
212,0
213,9
214,1
215,0
216,6
217,3
218,0
219,5
220,16
221,12
222,0
223,0
224,14
225,32
226,0
227,1
228,2
229,3
230,0
231,0
232,0
233,6
234,14
235,2
236,32
237,0
238,5
239,3
240,0
241,5
242,4
243,3
244,11
245,2
246,31
247,0
248,0
249,0
250,10
251,3
252,3
253,1
254,17
255,0
256,7
257,0
258,9
259,2
260,23
261,20
262,0
263,0
264,0
265,0
266,0
267,0
268,20
269,0
270,14
271,2
272,1
273,16
274,0
275,14
276,3
277,11
278,4
279,0
280,4
281,0
282,0
283,11
284,11
285,6
286,24
287,0
288,11
289,0
290,0
291,12
292,3
293,1
294,2
295,1
296,0
297,0
298,2
299,0
300,3
301,0
302,0
303,0
304,19
305,13
306,3
307,0
308,3
309,0
310,18
311,9
312,8
313,4
314,6
315,16
316,2
317,0
318,20
319,9
320,0
321,12
322,0
323,0
324,8
325,3
326,5
327,7
328,5
329,7
330,0
331,12
332,2
333,4
334,24
335,4
336,14
337,0
338,17
339,6
340,6
341,3
342,12
343,2
344,16
345,5
346,14
347,8
348,1
349,14
350,0
351,0
352,1
353,0
354,10
355,3
356,10
357,6
358,5
359,3
360,0
361,11
362,3
363,0
364,17
365,4
366,0
367,9
368,0
369,0
370,12
371,6
372,5
373,0
374,13
375,13
376,7
377,0
378,0
379,2
380,39
381,0
382,0
383,1
384,3
385,0
386,8
387,0
388,0
389,0
390,22
391,4
392,6
393,12
394,0
395,0
396,4
397,0
398,6
399,0
400,5
401,5
402,0
403,0
404,0
405,4
406,25
407,0
408,2
409,6
410,0
411,4
412,0
413,0
414,2
415,5
416,7
417,0
418,4
419,25
420,3
421,0
422,19
423,0
424,0
425,0
426,0
427,0
428,1
429,0
430,29
431,0
432,6
433,20
434,8
435,3
436,0
437,4
438,0
439,4
440,3
441,0
442,0
443,4
444,11
445,0
446,0
447,22
448,0
449,10
450,0
451,0
452,0
453,11
454,2
455,4
456,7
457,0
458,7
459,11
460,0
461,9
462,11
463,2
464,12
465,23
466,11
467,3
468,0
469,1
470,1
471,27
472,2
473,4
474,3
475,1
476,0
477,0
478,1
479,0
480,4
481,1
482,0
483,0
484,4
485,23
486,3
487,11
488,9
489,0
490,1
491,2
492,0
493,19
494,0
495,0
496,0
497,10
498,0
499,6
500,0
501,9
502,6
503,4
504,1
505,0
506,17
507,0
508,0
509,10
510,1
511,2
512,1
513,6
514,27
515,2
516,3
517,16
518,7
519,3
520,0
521,5
522,0
523,0
524,0
525,1
526,1
527,9
528,25
529,4
530,21
