q1_pr,q2_pr
1.494889517715336e-05,3.129327271971663e-05
1.0751226165200736e-05,4.8240741574625165e-05
8.772327416684932e-06,2.928544575485145e-05
2.3612571495032318e-05,2.3611789474618933e-05
9.481920456554978e-06,8.154324286551968e-05
2.058669715912412e-05,1.287898879612771e-05
3.510800610720292e-05,8.516391410746538e-06
1.3453997228091511e-05,7.699744939861277e-05
2.359801462952528e-05,2.4260766788177385e-05
3.603288307537983e-05,2.4705411234938455e-05
3.98914550723268e-05,4.8100887911517765e-05
1.9378588100051317e-05,2.1832850926663045e-05
6.389830106057152e-05,1.0307109787020012e-05
4.826115709042997e-05,1.0752427077895135e-05
4.967846374844358e-05,9.585812736884881e-06
4.826115709042997e-05,1.0752427077895135e-05
2.9147629890015707e-05,8.741901724150379e-06
4.454279009142081e-05,1.0120304688063579e-05
6.922700676440363e-06,1.780480532156099e-05
2.8810848833291457e-05,1.965486380274479e-05
1.667608829106183e-05,2.2344117022900506e-05
1.877266205025614e-05,2.4639752206742748e-05
1.057527346510076e-05,1.9562149861335364e-05
1.5327098304964067e-05,1.7539932893403345e-05
3.577580493712339e-05,1.9889343284158504e-05
8.687523830280088e-06,0.00013717018092809175
3.3755138627534e-05,1.4536555096312668e-05
1.9935188981831298e-05,1.4212953857124805e-05
2.0780578861709106e-05,1.59482054721224e-05
2.2826650962033705e-05,1.571705086819331e-05
7.743695897952073e-06,8.555643323999213e-05
1.771594875518225e-05,2.2217942774113525e-05
1.0751226165200736e-05,4.8240741574625165e-05
1.660191883851644e-05,2.1697083068610678e-05
2.4539750921072502e-05,2.053822757039014e-05
1.627311011745661e-05,1.9376274686285106e-05
2.1976427837212592e-05,2.5173640856973365e-05
9.153375520417747e-06,9.321866474443048e-05
6.679325801845961e-05,1.6076786768201786e-05
5.607972907550074e-05,1.0492658658217979e-05
4.044258510535921e-05,1.1142079707410874e-05
3.252701156042783e-05,1.8888324216312227e-05
2.2819884631532744e-05,1.8067055704248504e-05
2.787545097192119e-05,4.164836529473653e-05
2.191583901344681e-05,3.084273018741233e-05
4.141006344258956e-05,9.587741157762265e-06
1.0899112230197619e-05,1.9811662356545588e-05
1.8140000108415192e-05,1.956787901530711e-05
3.769844462879815e-05,3.5047105097104534e-05
2.1684141982250255e-05,1.8885599393878413e-05
3.0653399795829844e-05,9.061877829135882e-06
3.4076764641150497e-06,4.9539902926503396e-05
1.0168604882751284e-05,7.169454357523077e-05
