,q1_freq,q2_freq,q1_hash,q2_hash
0,2,5,0,34178
1,1,5,1,17366
2,1,4,2,29018
3,4,4,3,15151
4,1,10,4,19421
5,5,3,5,183
6,5,1,6,34179
7,2,14,7,34180
8,32,33,8,2490
9,46,30,9,19967
10,5,6,10,28151
11,9,10,11,2052
12,7,1,12,34181
13,5,1,13,34182
14,6,1,14,34183
15,5,1,15,34184
16,4,1,16,34185
17,5,1,17,34186
18,2,7,18,8342
19,13,9,19,34187
20,5,7,20,3030
21,7,9,21,34188
22,2,4,22,22372
23,6,7,23,26396
24,11,7,24,34189
25,1,19,25,28001
26,48,17,26,34190
27,6,4,27,34191
28,12,9,28,1238
29,6,4,29,34192
30,1,14,30,34193
31,24,32,31,9043
32,1,5,32,34194
33,3,4,33,30695
34,9,8,34,1536
35,10,13,35,15419
36,7,9,36,34195
37,1,12,37,34196
38,8,2,38,34197
39,6,1,39,34198
40,4,1,40,34199
41,19,12,41,15102
42,6,5,42,34200
43,21,33,43,6102
44,7,9,44,6050
45,5,1,45,34201
46,2,4,46,24561
47,12,13,47,11949
48,25,21,48,34202
49,7,6,49,25077
50,4,1,50,34203
51,1,49,51,17724
52,1,8,52,34204
53,7,6,53,34205
54,1,9,54,13169
55,1,9,55,74
56,1,6,56,34206
57,24,21,57,5946
58,4,19,58,34207
59,18,1,59,34208
60,4,1,60,34209
61,4,1,61,34210
62,12,11,62,1971
63,4,1,63,34211
64,4,1,64,34212
65,6,15,65,3249
66,2,26,66,3299
67,6,6,67,16945
68,1,11,68,12492
69,6,8,69,16270
70,4,1,70,34213
71,1,4,71,18886
72,6,6,72,34214
73,2,6,73,34215
74,9,1,74,34216
75,10,10,75,34217
76,13,14,76,9658
77,16,15,77,727
78,11,19,78,13278
79,2,4,79,34218
80,7,7,80,15248
81,1,4,81,11655
82,4,1,82,34219
83,13,13,83,10908
84,30,23,84,1456
85,6,1,85,34220
86,1,14,86,267
87,18,14,87,7773
88,18,13,88,8371
89,7,6,89,6981
90,9,13,90,13667
91,5,1,91,34221
92,4,1,92,34222
93,1,13,93,18433
94,5,4,94,24470
95,31,32,95,16944
96,8,1,96,34223
97,4,5,97,14511
98,8,9,98,3563
99,6,6,99,34224
100,4,1,100,34225
101,44,30,101,3089
102,4,30,102,732
103,2,4,103,13924
104,6,1,104,34226
105,9,1,105,34227
106,6,6,106,13537
107,1,5,107,34050
108,4,1,108,34228
109,6,1,109,34229
110,15,15,110,34230
111,2,30,111,34231
112,11,14,112,4575
113,11,10,113,25110
114,4,4,114,6970
115,1,7,115,34232
116,18,56,116,869
117,1,4,117,15998
118,1,8,118,735
119,6,2,119,34233
120,1,7,120,34234
121,13,1,121,34235
122,5,4,122,17892
123,6,16,123,14001
124,49,38,124,1494
125,12,8,125,2964
126,1,4,126,34236
127,1,5,127,34237
128,2,5,128,23434
129,6,6,129,4263
130,8,4,130,23892
131,7,10,131,34238
132,15,20,132,34239
133,1,4,133,31349
134,11,12,134,18578
135,4,3,135,34240
136,28,31,136,31969
137,1,4,137,34241
138,2,5,138,34242
139,26,1,139,34243
140,8,7,140,5814
141,4,5,141,34244
142,5,5,142,23534
143,2,15,143,34245
144,5,1,144,34246
145,13,8,145,2788
146,4,4,146,15037
147,1,8,147,17645
148,41,41,148,9378
149,11,10,149,34247
150,1,4,150,1252
151,19,16,151,3756
152,6,14,152,3508
153,5,7,153,4314
154,4,1,154,34248
155,1,7,155,53
156,12,12,156,10944
157,14,10,157,22752
158,1,5,158,7430
159,2,8,159,25748
160,1,19,160,23736
161,14,13,161,10120
162,23,8,162,6903
163,7,9,163,34249
164,1,4,164,17909
165,27,17,165,12602
166,2,4,166,29278
167,11,13,167,17499
168,4,1,168,34250
169,19,2,169,34251
170,4,16,170,34252
171,2,4,171,2064
172,45,28,172,3469
173,5,4,173,34253
174,7,1,174,34254
175,1,4,175,25659
176,26,25,176,14250
177,25,27,177,6852
178,19,18,178,5076
179,20,22,179,21131
