,q1_kcores,q2_kcores,q1_q2_kcores_ratio,q1_q2_kcores_diff,q1_q2_kcores_diff_normed
0,1.0,2.0,0.5,1.0,0.3333333333333333
1,1.0,1.0,1.0,0.0,0.0
2,1.0,1.0,1.0,0.0,0.0
3,2.0,2.0,1.0,0.0,0.0
4,1.0,1.0,1.0,0.0,0.0
5,3.0,3.0,1.0,0.0,0.0
6,2.0,1.0,0.5,1.0,0.3333333333333333
7,2.0,4.0,0.5,2.0,0.3333333333333333
8,23.0,23.0,1.0,0.0,0.0
9,30.0,23.0,0.7666666666666666,7.0,0.1320754716981132
10,1.0,1.0,1.0,0.0,0.0
11,8.0,8.0,1.0,0.0,0.0
12,1.0,1.0,1.0,0.0,0.0
13,1.0,1.0,1.0,0.0,0.0
14,,1.0,,,
15,1.0,1.0,1.0,0.0,0.0
16,2.0,1.0,0.5,1.0,0.3333333333333333
17,1.0,1.0,1.0,0.0,0.0
18,2.0,5.0,0.4,3.0,0.42857142857142855
19,8.0,8.0,1.0,0.0,0.0
20,5.0,6.0,0.8333333333333334,1.0,0.09090909090909091
21,6.0,6.0,1.0,0.0,0.0
22,2.0,3.0,0.6666666666666666,1.0,0.2
23,6.0,6.0,1.0,0.0,0.0
24,7.0,7.0,1.0,0.0,0.0
25,1.0,2.0,0.5,1.0,0.3333333333333333
26,25.0,12.0,0.48,13.0,0.35135135135135137
27,4.0,4.0,1.0,0.0,0.0
28,8.0,8.0,1.0,0.0,0.0
29,4.0,4.0,1.0,0.0,0.0
30,1.0,2.0,0.5,1.0,0.3333333333333333
31,20.0,25.0,0.8,5.0,0.1111111111111111
32,1.0,1.0,1.0,0.0,0.0
33,3.0,3.0,1.0,0.0,0.0
34,8.0,8.0,1.0,0.0,0.0
35,6.0,8.0,0.75,2.0,0.14285714285714285
36,4.0,6.0,0.6666666666666666,2.0,0.2
37,1.0,2.0,0.5,1.0,0.3333333333333333
38,1.0,1.0,1.0,0.0,0.0
39,1.0,1.0,1.0,0.0,0.0
40,1.0,1.0,1.0,0.0,0.0
41,7.0,7.0,1.0,0.0,0.0
42,5.0,5.0,1.0,0.0,0.0
43,13.0,19.0,0.6842105263157895,6.0,0.1875
44,6.0,6.0,1.0,0.0,0.0
45,1.0,1.0,1.0,0.0,0.0
46,2.0,3.0,0.6666666666666666,1.0,0.2
47,12.0,12.0,1.0,0.0,0.0
48,18.0,18.0,1.0,0.0,0.0
49,6.0,6.0,1.0,0.0,0.0
50,2.0,1.0,0.5,1.0,0.3333333333333333
51,1.0,17.0,0.058823529411764705,16.0,0.8888888888888888
52,1.0,1.0,1.0,0.0,0.0
53,5.0,5.0,1.0,0.0,0.0
54,1.0,2.0,0.5,1.0,0.3333333333333333
55,1.0,1.0,1.0,0.0,0.0
